accountantId,cancelDate,ignoreField,signDate,signedOrganizationsCount
2239C5F5,21/05/2019,,2018-12-11T00:00:00,50.0
22A7B6CA,,,2019-08-30T00:00:00,200.0
22BBCCCB,,,2019-08-21T00:00:00,20.0
22C2E247,,,2019-08-13T00:00:00,100.0
22EB8F2A,,,2019-04-18T00:00:00,135.0
2346C3A7,,,2019-02-12T00:00:00,50.0
243CB3A8,21/05/2019,,2019-02-12T00:00:00,65.0
244A26FE,,,2019-02-21T00:00:00,80.0
24DE596F,,,2019-02-21T00:00:00,500.0
24EB97A4,,,2019-07-18T00:00:00,100.0
2582D98F,05/04/2019,,2019-03-18T00:00:00,120.0
25AF64BE,,,2019-08-15T00:00:00,35.0
25DF5C75,,,2019-08-21T00:00:00,200.0
25E2F3A7,,,2019-07-19T00:00:00,30.0
275E4492,,,2019-08-21T00:00:00,150.0
279E7C58,,,2019-08-29T00:00:00,120.0
27B7E4DF,,,2019-04-10T00:00:00,60.0
27CE79F8,,,2019-07-31T00:00:00,83.0
27DFE3B3,,,2019-05-21T00:00:00,80.0
2826FCBC,,,2019-08-01T00:00:00,20.0
28482AA9,,,2019-09-02T00:00:00,50.0
285398B8,,,2019-06-18T00:00:00,30.0
286E857A,,,2019-01-16T00:00:00,40.0
28C2D2F3,,,2019-01-21T00:00:00,75.0
28C6C893,,,2019-08-02T00:00:00,60.0
28EE2FCA,,,2019-01-28T00:00:00,40.0
28FDAC73,08/07/2019,,2018-12-18T00:00:00,85.0
295A2C9A,,,2019-01-21T00:00:00,100.0
296CAE4E,,,2018-12-14T00:00:00,100.0
29A23766,,,2019-08-16T00:00:00,45.0
29E7DC7D,,,2019-07-30T00:00:00,210.0
2A32FD84,,,2019-07-19T00:00:00,60.0
2A4FDA77,07/05/2019,,2019-02-07T00:00:00,50.0
2A8B2DAB,,,2019-08-12T00:00:00,80.0
2AFBA7EC,,,2019-07-10T00:00:00,50.0
2B447ACE,,,2019-08-09T00:00:00,300.0
2B663A75,,,2019-05-31T00:00:00,110.0
2B8D99C5,,,2019-08-30T00:00:00,30.0
2BCD8C43,,,2019-08-21T00:00:00,100.0
2C3D6D72,,,2019-07-24T00:00:00,120.0
2C72A4C9,,,2019-05-21T00:00:00,110.0
