,accountantId,cohort,total,m,count_org
0,22A7B6CA,8,200.0,8,1
1,22A7B6CA,8,200.0,9,248
2,22C2E247,8,100.0,8,83
3,22C2E247,8,100.0,9,46
4,22EB8F2A,4,135.0,5,131
5,22EB8F2A,4,135.0,7,3
6,22EB8F2A,4,135.0,8,9
7,22EB8F2A,4,135.0,9,3
8,24EB97A4,7,100.0,8,108
9,25AF64BE,8,35.0,8,47
10,25AF64BE,8,35.0,9,1
11,25E2F3A7,7,30.0,8,22
12,275E4492,8,150.0,9,151
13,279E7C58,8,120.0,9,96
14,27B7E4DF,4,60.0,5,47
15,27CE79F8,7,83.0,8,96
16,27DFE3B3,5,80.0,6,74
17,27DFE3B3,5,80.0,7,10
18,27DFE3B3,5,80.0,8,2
19,27DFE3B3,5,80.0,9,4
20,2826FCBC,8,20.0,8,20
21,28482AA9,9,50.0,8,1
22,28482AA9,9,50.0,9,43
23,285398B8,6,30.0,7,32
24,28C2D2F3,1,75.0,7,61
25,28C6C893,8,60.0,8,43
26,29A23766,8,45.0,8,32
27,29E7DC7D,7,210.0,7,1
28,29E7DC7D,7,210.0,8,251
29,29E7DC7D,7,210.0,9,53
30,2A32FD84,7,60.0,7,30
31,2A32FD84,7,60.0,8,4
32,2A32FD84,7,60.0,9,2
33,2AFBA7EC,7,50.0,7,35
34,2AFBA7EC,7,50.0,8,1
35,2B663A75,5,110.0,6,101
36,2B663A75,5,110.0,7,1
37,2B663A75,5,110.0,9,4
38,2B8D99C5,8,30.0,8,60
39,2B8D99C5,8,30.0,9,1
40,2BCD8C43,8,100.0,8,1
41,2BCD8C43,8,100.0,9,70
42,2C3D6D72,7,120.0,7,125
43,2C3D6D72,7,120.0,8,30
44,2C3D6D72,7,120.0,9,71
45,2C72A4C9,5,110.0,5,157
46,2CEFEC2F,7,20.0,7,17
47,2CEFEC2F,7,20.0,8,20
48,2CEFEC2F,7,20.0,9,1
49,2CF62DEE,6,100.0,6,82
50,2CF62DEE,6,100.0,7,3
51,2CF62DEE,6,100.0,8,3
52,2D6A3C55,5,100.0,5,61
53,2D6A3C55,5,100.0,7,1
54,2D6A3C55,5,100.0,8,1
55,2D876777,8,150.0,8,1
56,2D876777,8,150.0,9,149
57,2E43FA27,7,36.0,8,34
58,2E43FA27,7,36.0,9,2
59,2EFDAB6D,8,35.0,8,1
60,2FD9FE6D,7,20.0,8,18
61,32497C45,7,60.0,7,32
62,327D33AF,8,60.0,8,60
63,327D33AF,8,60.0,9,27
64,32DB9CA3,8,130.0,8,183
65,332A7799,8,85.0,8,1
66,334DA9CA,8,40.0,8,57
67,34FCFAD9,7,25.0,7,12
68,34FCFAD9,7,25.0,8,23
69,34FCFAD9,7,25.0,9,2
70,356D5CBD,8,20.0,8,1
71,356D5CBD,8,20.0,9,12
72,35A93AAC,4,120.0,4,109
73,35A93AAC,4,120.0,7,41
74,3674BCD7,8,70.0,8,66
75,3674BCD7,8,70.0,9,7
76,367ACF6F,7,80.0,8,44
77,36969F86,6,100.0,7,107
78,36969F86,6,100.0,8,1
79,36C2EE3C,8,60.0,8,92
80,36C2EE3C,8,60.0,9,1
81,375CBA3D,8,50.0,8,32
82,375CBA3D,8,50.0,9,4
83,37BD8638,7,35.0,7,1
84,37BD8638,7,35.0,8,13
85,3894D689,8,110.0,9,82
86,38BA4CA7,5,110.0,5,103
87,38BA4CA7,5,110.0,6,2
88,38D2657B,7,300.0,8,304
89,392A4AE9,7,30.0,7,26
90,392A4AE9,7,30.0,8,3
91,39522AFE,8,340.0,8,1
92,39522AFE,8,340.0,9,525
93,3A8D32BA,8,180.0,8,207
94,3A8D32BA,8,180.0,9,4
